KODE APOTIK,Nama,Alamat,NPWP,NPPKP,PBF,SIPA,no_ijin,nama_apj,kode_petugas,delete_reason,Status,Latitude,Longitude,Kode Pos,Provinsi,Kabupaten,Kecamatan,Kelurahan,Kontak,validasi
Apt.7HF,Apotek 7-H Farma,"Fajar Mutiara Kronggahan A04, Bonangan, Baturan, Colomadu, Karanganyar Regency, Central Java 57171",,,,,,,,,active,-7.544364488,110.7913873,57171,JAWA TENGAH,,KARANGANYAR,KRA,85739040703,validated
Apt.7hwaru,Apotek 7H waru,jl. Raya Waru Baki rt1 rw 7 baki sukoharjo,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,SUKOHARJO,,
Apt.88,Apotek 88,"Jl. Dr. Cipto Mangunkusumo No.18, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141",,,,,,,,,active,-7.565253284,110.8108662,57141,JAWA TENGAH,,LAWEYAN,SURAKARTA,(0271)7473987,validated
Apt.ABD,Apotek Abeed Farma," jongkang Jalan Mojo, RT.01/RW.05, Area Sawah/Kebun, Buran, Kec. Tasikmadu, Kabupaten Karanganyar, Jawa Tengah 57722",,,,,,,,,active,-7.570705534,110.9071178,57722,JAWA TENGAH,KABUPATEN KARANGANYAR,TASIKMADU,Karanganyar,85642400982,validated
Apt.ABDMLY,Apotek Abadi Mulia,"Jl. Karangdowo - Tawangsari, Satu, Grajegan, Kec. Tawangsari, Kabupaten Sukoharjo, Jawa Tengah 57561",,,,,,,,,active,-7.738309371,110.7781918,57561,JAWA TENGAH,KABUPATEN SUKOHARJO,TAWANGSARI,Sukoharjo,878585940000,validated
Apt.ABMY,Apotek Abimanyu,"Jl. Karangrejo No.5, Karangrejo, Ngringo, Kec. Jaten, Kabupaten Karanganyar, Jawa Tengah 57772",,,,,,,,,active,-7.559992697,110.8753033,57772,JAWA TENGAH,KABUPATEN KARANGANYAR,JATEN,KRA,81327779728,validated
Apt.ABRK,Apotek Al Barokah,"Mojayanaraya, Mojayan, Kec. Klaten Tengah, Kabupaten Klaten, Jawa Tengah 57416",,,,,,,,,active,-7.710580189,110.6090282,57416,JAWA TENGAH,KABUPATEN KLATEN ,KLATEN,KLT,082227211694/085647200456,validated
Apt.Abtafr,Apotek Abata Farma,"Jl. Sumbing Mertoudan, RT.005/RW.009, Mojosongo, Kec. Jebres, Kota Surakarta, Jawa Tengah 57127",,,,,,,,,active,-7.545130539,110.8456316,57127,JAWA TENGAH,SURAKARTA,JEBRES,SURAKARTA,81262230022,validated
Apt.ADFRM,"Apotek Adi Farma ,SKH",Jl. Nolodutan RT 03/22 Mkm Haji,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Sukoharjo,0271 7573451,
Apt.Adira,Apotek Adira,"Jl. Wimboharsono No.20, Dusun III, Kartasura, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57169",,,,,,,,,active,-7.553551624,110.7418852,57169,JAWA TENGAH,,,SUKOHARJO,,validated
Apt.ADISHT,Apotek Adi Sehat,"Jl. Solo-Purwodadi KM 16,Kalijambe",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Purwodadi,85647006153,
APT.ADY,Apotek Adhitya,"Kebayanan 1, Duyungan, Kec. Sidoharjo, Kabupaten Sragen, Jawa Tengah 57281",,,,,,,,,active,-7.452887586,110.9652406,57281,JAWA TENGAH,KABUPATEN SRAGEN,SIDOHARJO,Sragen,81548854886,validated
Apt.AFFRM,Apotek Afif Farma," Dusun 2, Ngawen, Kec. Ngawen, Kabupaten Klaten, Jawa Tengah 57466",,,,,,,,,active,-7.66515394,110.5952438,57466,JAWA TENGAH,KABUPATEN KLATEN,NGAWEN,Klaten,85722281717,validated
Apt.afiata,Apotek Afiat AA,"Jl. Letjen Sutoyo No.113, Kadipiro, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57136",,,,,,,,,active,-7.544941718,110.8340554,57136,JAWA TENGAH,KOTA SURAKARTA,BANJARSAIR,SURAKARTA,81216548580,validated
Apt.AFT,Apotek Afiat,"Jl. Tegalgondo - Janti, Dusun 1, Janti, Kec. Polanharjo, Kabupaten Klaten, Jawa Tengah 57482",,,,,,,,,active,-7.601208793,110.6470777,57482,JAWA TENGAH,KABUPATEN KLATEN,POLANHARJO,Klaten,85878693598,validated
Apt.aghfr,Apotek Anugerah farma Riau,dusun mekar serumpun Riau,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,RIAU,82362838612,
Apt.AGS03,Apotek Anugrah Sehat,Jl. Adi Sucipto No. 3 Colomadu,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Karanganyar,(0271) 5899764,
APT.AHZSF,APOTEK AHZA SYIFA,JL.TW.SARI-WT.KELIR KM 4,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,SKH,82314952098,
Apt.aisyah,Apotek Aisyah Farma,"Karang joho, Mojo, Kec. Andong, Kabupaten Boyolali, Jawa Tengah 57384",,,,,,,,,active,-7.379210336,110.7675735,57384,JAWA TENGAH,KABUPATEN BOYOLALI,ANDONG,BOYOLALI,82254156256,validated
Apt.AKBR,Apotek Akbar,"Perum Griya Harmoni, Gunung duk 01/05 Bulurejo",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,KRA,,
Apt.AKBSHT,"Apotek Akrab Sehat, BYL","FPQW+R6M, Jl. Mangu, Ngesrep, Kec. Ngemplak, Kabupaten Boyolali, Jawa Tengah 57375",,,,,,,,apotek tutup permanen,deleted,,,,JAWA TENGAH,,,R4,0271 780046/081228444731,
Apt.akmalc,Apotek 24 Jam (Akmal Sehat),"Jl. Adi Sucipto No.11, Kenaiban, Malangjiwan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57177",,,,,,,,,active,-7.546242893,110.7768674,57177,JAWA TENGAH,KABUPATEN KARANGANYAR,COLOMADU,KARANGANYAR,85867070524,validated
Apt.akmalg,Apotek Akmal Sehat 7,"Jl. Raya Grogol No.80, dusun 2, Grogol, Kec. Sukoharjo, Kabupaten Sukoharjo, Jawa Tengah 57552",,,,,,,,,active,-7.602431793,110.8189577,57552,JAWA TENGAH,KABUPATEN SUKOHARJO,SUKOHARJO,SUKOHARJO,,validated
Apt.AKML5,Apotek Akmal Sehat 5,"Jl. Gajah Mada No.10, Simpang Utara, Purwodadi, Kec. Purwodadi, Kabupaten Grobogan, Jawa Tengah 58112",,,,,,,,,active,-7.097273002,110.9116281,58112,JAWA TENGAH,KABUPATEN GROBOGAN,PURWODADI,Purwodadi,0292 426480,validated
Apt.AKMSHT,Apotek Akmal Sehat,"Jl. Slamet Riyadi No.612, Jajar, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57144",,,,,,,,,active,-7.557989088,110.7827931,57144,JAWA TENGAH,,LAWEYAN,Surakarta,0271 2412629,validated
Apt.alfa,Apotek Alfa Farma,"Dungus, Karanganyar, Kec. Plupuh, Kabupaten Sragen, Jawa Tengah 57283",,,,,,,,,active,-7.446048794,110.9142686,57283,JAWA TENGAH,KABUPATEN SRAGEN,PLUPUH,SRAGEN,81251660426,validated
Apt.alhadi,Apotek Al- Hadi,"Jl. Kahar Muzakir No.151 Rt 02/11, Semanggi, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57117",,,,,,,,,active,-7.586970171,110.83364,57117,JAWA TENGAH,KOTA SURAKARTA,PASAR KLIWON,SURAKARTA,271646420,validated
Apt.ALJY01,Apotek Alam Jaya,"Jl. Jend. Urip Sumoharjo No.45, Kepatihan Wetan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57129",,,,,,,,,active,-7.567194174,110.8326018,57129,JAWA TENGAH,,JEBRES,Surakarta,(0271) 635349,validated
APT.ALK,Apotek Alika,"rt 12 rw 06 sumber wetan,, Jl. Pedan-Trucuk, Dusun 3, Sumber, Kec. Trucuk, Kabupaten Klaten, Jawa Tengah 57467",,,,,,,,,active,-7.708906236,110.6961604,57467,JAWA TENGAH,KABUPATEN KLATEN,TRUCUK,Klaten,8122630266,validated
Apt.Almadi,Apotek Al Madina,"Jl. Magelang - Boyolali, Dusun 3, Mliwis, Kec. Cepogo, Kabupaten Boyolali, Jawa Tengah",,,,,,,,,active,-7.516710563,110.5345637,,JAWA TENGAH,KABUPATEN BOYOLALI,CEPOGO,BOYOLALI,87835572127,validated
Apt.ALNF,Apotek Alena Farma,"Mendin, Paseban, Kec. Bayat, Kabupaten Klaten, Jawa Tengah 57462",,,,,,,,,active,-7.785151137,110.6335567,57462,JAWA TENGAH,,,KLATEN,,validated
Apt.ALQS,Apotek Al-Aqsho,"Jl. Mangesti Raya, Dusun II, Purbayan, Kec. Baki, Kabupaten Sukoharjo, Jawa Tengah 57557",,,,,,,,,active,-7.580598912,110.7695716,57557,JAWA TENGAH,KABUPATEN SUKOHARJO,BAKI,SKH,,validated
Apt.ALSF,Apotek Alisha Farma,"Kebayanan 3, Purwosuman, Kec. Sidoharjo, Kabupaten Sragen, Jawa Tengah 57281",,,,,,,,,active,-7.442146804,110.9413738,57281,JAWA TENGAH,KABUPATEN SRAGEN,SIDOHARJO,Sragen,83838325701,validated
Apt.ALTHF,"Apotek Althaf, Pedan","Jl. Raya Ps. Pedan, Senobayan, Sobayan, Kec. Pedan, Kabupaten Klaten, Jawa Tengah 57468",,,,,,,,,active,-7.687393929,110.7044744,57468,JAWA TENGAH,KABUPATEN KLATEN,PEDAN,Klaten,0271 2082827,validated
APT.ALYFRM,Apotek Alya Farma Donorojo,"Jalan Pacitan, Druju, Donorojo, Pacitan Regency, East Java 63554",,,,,,,,,active,-8.090638339,110.9871947,63554,JAWA TENGAH,,,PACITAN,8121547245,validated
Apt.AMDF,Apotek Amadea Farma,"Jalan Raya Sukoharjo Serenan Km. 3,3, Brumbung, Dukuh, Kec. Sukoharjo, Kabupaten Sukoharjo, Jawa Tengah 57551",,,,,,,,apotek tutup permanen,deleted,,,,JAWA TENGAH,,,Sukoharjo,0271 590029,
Apt.AMN,"Apotek Amanah, SKA","Jl. Kolonel Sutarto No.35, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57126",,,,,,,,,active,-7.559392508,110.8412295,57126,JAWA TENGAH,KOTA SURAKARTA,JEBRES,Surakarta,"081226043610, 081215960493",validated
Apt.AMN03,Apotek Amanah,Jl. Mipitan Timur No.5 Pedan,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Klaten,"(0272) 897142, 897773",
Apt.AMN24,Apotek Amanah 24,"Dusun III, Salakan, Kec. Teras, Kabupaten Boyolali, Jawa Tengah 57372",,,,,,,,,active,-7.564444862,110.6670954,57372,JAWA TENGAH,KABUPATEN BOYOLALI,TERAS,Boyolali,0815691398/08562916391,validated
APT.AMND,Apotek Amanda,"JL. RAYA JOGJA-SOLO 02/07, SABRANG, DELANGGU",,,,,,,,apotek tutup permanen,deleted,,,,JAWA TENGAH,,,Klaten,,
APT.AMNHSK,Apotek Amanah,"Jl. Tentara Pelajar 04/XII Gabahan, Gadingan, Jombor, Kec. Bendosari, Kabupaten Sukoharjo, Jawa Tengah 57521",,,,,,,,,active,-7.674201769,110.8452163,57521,JAWA TENGAH,KABUPATEN SUKOHARJO,BENDOSARI,Sukoharjo,81226210836,validated
Apt.AMRTSH,Apotek Amarta Sehat,"Jl. Kolonel Sugiyono No.178, Kadipiro, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57136",,,,,,,,apotek tutup permanen,deleted,,,,JAWA TENGAH,,,Surakarta,0271 855109,
Apt.AMRW,Apotek Al Marwa,"Jalan Puntadewa No.35, Cemani, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552",,,,,,,,,active,-7.585546316,110.8091417,57552,JAWA TENGAH,KABUPATEN SUKOHARJO,GROGOL,Sukoharjo,0271 630349,validated
Apt.AND,"Apotek Ananda, Sragen","Mlokolegi, Celep, Kec. Kedawung, Kabupaten Sragen, Jawa Tengah 57292",,,,,,,,,active,-7.507428141,111.0047414,57292,JAWA TENGAH,KABUPATEN SRAGEN,KEDAWUNG,Sragen,82175887715,
Apt.ANDF,Apotek Ananda Farma,Jl. By Pass Selatan Bangjo Prago,,,,,,,,tidak ditemukan,,,,,JAWA TENGAH,,,Klaten,0272 328774,
Apt.ANDFN,Apotek Ananda Farma (New),"Jl. Ki HAjar Dewantara, Dpn Unwida",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,KABUPATEN KLATEN,,Klaten,0272 3353008,
Apt.ANDN,Apotek Andina," Dusun I, Cawas, Kec. Cawas, Kabupaten Klaten, Jawa Tengah 57463",,,,,,,,,active,-7.762644144,110.6977499,57463,JAWA TENGAH,KABUPATEN KLATEN,CAWAS,Klaten,85329922645,validated
Apt.ANDNF,Apotek Andin FArma,"Jl. Dewi Sartika No.20, Ngablak, Kroyo, Kec. Karangmalang, Kabupaten Sragen, Jawa Tengah 57222",,,,,,,,,active,-7.44596125,111.0266702,57222,JAWA TENGAH,KABUPATEN SRAGEN,KARANGMALANG,Sragen,(0271)8820063,
Apt.ANDS,"Apotek Ananda, Solo","Jl. Slamet Riyadi No.620, Jajar, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57146",,,,,,,,,active,-7.557885516,110.7825429,57146,JAWA TENGAH,KOTA SURAKARTA,LAWEYAN,Surakarta,0271 717392,
Apt.ang,Apotek Anugrah Wonosobo,"No.10B, Jl. Sumbing, Bendungan, Gajahmungkur, Kabupatén Wonosobo, Central Java 50231",,,,,,,,,active,-7.364037284,109.9015872,50231,JAWA TENGAH,KABUPATEN WONOSOBO,WONOSOBO,WONOSOBO,,validated
Apt.ANGABD,Apotek Anugrah Abadi,"Jl. Yos Sudarso No.337, Danukusuman, Kec. Serengan, Kota Surakarta, Jawa Tengah 57155",,,,,,,,,active,-7.586835223,110.8186456,57155,JAWA TENGAH,KOTA SURAKARTA,SERENGAN,Solo,(0271) 662116,validated
Apt.angks,Apotek Angkasa,"Jl. Nakula Sadewa Raya No.88, Dukuh, Kec. Sidomukti, Kota Salatiga, Jawa Tengah 50722",,,,,,,,,active,-7.333373712,110.489193,50722,JAWA TENGAH,KOTA SALTIGA,SIDOMUKTI,SALATIGA,8175222703,validated
APT.ANNA,Apotek Anna,"Jl. Embarkasi H., Ngemplak, Gagaksipat, Kec. Ngemplak, Kabupaten Boyolali, Jawa Tengah 57375",,,,,,,,,active,-7.523495843,110.7640033,57375,JAWA TENGAH,KABUPATEN BOYOLALI,NGEMPLAK,BYL,0271 7891675,validated
Apt.ANSHK,"Apotek Anugrah Sehat, Klaten","Pertokoan Merapi Makmur, Jl. Merapi No.A2, Gayamprit, Kec. Klaten Sel., Kabupaten Klaten, Jawa Tengah 57424",,,,,,,,,active,-7.707426519,110.5911062,57424,JAWA TENGAH,KABUPATEN KLATEN,KLATEN SELATAN,"Klaten,",8156868446,validated
Apt.ANT,Apotek Anita,"Gandik, Jaten, Kec. Klego, Kabupaten Boyolali, Jawa Tengah 57385",,,,,,,,,active,-7.381825575,110.6914246,57385,JAWA TENGAH,KABUPATEN BOYOLALI,KLEGO,Boyolali,,validated
Apt.Antigh,Apotek Antigh FArma,"Jl. Merbabu, Dusun 3, Ngadirojo, Kec. Ampel, Kabupaten Boyolali, Jawa Tengah 57352",,,,,,,,,active,-7.419236661,110.4999642,57352,JAWA TENGAH,KABUPATEN BOYOLALI,AMPEL ,BOYOLALI,85737797999,validated
Apt.AP01,Apotek Anugrah Putra,"JL Prof Dr Suharso, 21-B, Solo, 57142, Jajar, Laweyan, Surakarta City, Central Java 57144",,,,,,,,,active,-7.550910157,110.7882375,57144,JAWA TENGAH,KOTA SURAKARTA,LAWEYAN,Solo,(0271) 729050,validated
Apt.ardzan,Apotek Ardzan Farma,"Jl. Sibela Raya No.50, Mojosongo, Kec. Jebres, Kota Surakarta, Jawa Tengah 57127",,,,,,,,,active,-7.535960379,110.8431725,57127,JAWA TENGAH,KOTA SURAKARTA,JEBRES,SURAKARTA,89524409044,validated
Apt.ARF,Apotek Arifa,"Jl. Sawahan No.01, Jetis, Sawahan, Kec. Ngemplak, Kabupaten Boyolali, Jawa Tengah 57375",,,,,,,,,active,-7.52716113,110.7955396,57375,JAWA TENGAH,KABUPATEN BOYOLALI,NGEMPLAK,Boyolali,0271 7655203,validated
apt.arfmdk,Apotek Arfa Medika,"Dusun 2, Tegalgondo, Kec. Wonosari, Kabupaten Klaten, Jawa Tengah 57473",,,,,,,,,active,-7.594161849,110.7030385,57473,JAWA TENGAH,KABUPATEN KLATEN,WONOSARI,Klaten,81226156667,validated
Apt.ARI,Apotek Ari,"Jl. Ahmad Yani No.H3, Kebayan 2, Sragen Kulon, Kec. Sragen, Kabupaten Sragen, Jawa Tengah 57212",,,,,,,,,active,-7.421964547,111.0197422,57212,JAWA TENGAH,KABUPATEN SRAGEN,SRAGEN,Sragen,0271 894252,validated
Apt.ARIF,"Apotek Ari Farma, KRA","Jl. Raya Solo-Tawangmangu No.Km.7, Jetak, Dagen, Kec. Jaten, Kabupaten Karanganyar, Jawa Tengah 57731",,,,,,,,,active,-7.574913381,110.8875333,57731,JAWA TENGAH,,,Jaten KRA,0271 827239,
APT.ARJWNG,APOTEK ARJOWINAMGUN,"Jl. P. Sudirman No.11, Barang, Arjowinangun, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63516",,,,,,,,,active,-8.198690224,111.1172986,63516,JAWA TIMUR,KABUPATEN PACITAN,,PACITAN,87706760899,
Apt.ARKNF,Apotek Arkaan Farma,"Jl. Mayang Kartasura, Jiwan, Ngemplak, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57169",,,,,,,,,active,-7.574317329,110.7447204,57169,JAWA TENGAH,KABUPATEN SUKOHARJO,KARTASURA,KTS,85728559971,validated
Apt.arrq,Apotek Ar Razzaq,soko baru rt 15 rw 7 pundungsari klaten,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,KLATEN,,
Apt.ARSF,Apotek Arrasyifa,"Jl. Lawu No.82, Tegalgede, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah 57714",,,,,,,,,active,-7.598301807,110.954223,57714,JAWA TENGAH,KABUPATEN KARAGANYAR,KARANGANYAR,KRA,,validated
Apt.ARYA,Apotek Aria,"Jl. Brigjend Katamso, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57128",,,,,,,,,active,-7.559103839,110.8373316,57128,JAWA TENGAH,,,,0271 651167,
Apt.ARZ,Apotek Ar Rozi,"Perum Fajar Indah Blk A 10, Klaten",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Klaten,81567847412,
Apt.ASA,Apotek ASA,"JL. Letjen, Jl. S. Parman No.69, Jengglong Timur, Purwodadi, Kec. Purwodadi, Kabupaten Grobogan, Jawa Tengah 58111",,,,,,,,,active,-7.083054908,110.9156264,58111,JAWA TENGAH,KABUPATEN PURWODADI,,Purwodadi,0292 425046,
Apt.ASAF,Apotek Asia Farma,"6J7P+G2J, Jl. Raya Bayat, Mbalong, Paseban, Kec. Bayat, Kabupaten Klaten, Jawa Tengah 57462",,,,,,,,,active,-7.786190133,110.635002,57462,JAWA TENGAH,KABUPATEN KLATEN,,KLT,,
Apt.ASAHI,Apotek Asahi Farma,"Jl. Raya Sine Grasak Kulon, Kb. Agung, Gondang, Kec. Gondang, Kabupaten Sragen, Jawa Tengah 57254",,,,,,,,,active,-7.40566768,111.1184238,57254,JAWA TENGAH,KABUPATEN SRAGEN,GONDANG,Sragen,0271 887161,validated
Apt.ASF01,Apotek Asti Farma,Jl. Sidomukti No. 22C Jatibaru Cemani,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Sukoharjo,"(0271) 741970, Mbak Heni",
Apt.ASFK,"Apotek Asyifa, KRA","Jalan RM. Said Gerdu Rejo RT 04/11, Temu Ireng, Tegalgede, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah 57714",,,,,,,,,active,-7.608904812,110.9693876,57714,JAWA TENGAH,,,KRA,85724416464,
Apt.ASHRHY,Apotek Asih RAhayu,"TAman Asri,Jl. Veteran 54 Sragen",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Sragen,891547,
Apt.Ask,Apotek Aska Farmasi,"Jl. Tingkir Raya, RT.01/RW.07, Tingkir Tengah, Kec. Tingkir, Kota Salatiga, Jawa Tengah 50745",,,,,,,,,active,-7.361953683,110.5208483,50745,JAWA TENGAH,,TINGKIR,SALATIGA,,validated
Apt.ASM,Apotek Assalam Medicare,"Jl. Garuda Mas Jl. Mendungan, Mendungan, Pabelan, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57169",,,,,,,,,active,-7.554252788,110.7700983,57169,JAWA TENGAH,KABUPATEN SUKOHARJO,KARTASURA,KTS,0271 7653262,validated
Apt.ASpw,Apotek AsSyifa Purworejo,"Dusun IV, Seren, Kec. Gebang, Kabupaten Purworejo, Jawa Tengah 54191",,,,,,,,,active,-7.678161138,109.9798005,54191,JAWA TENGAH,KABUPATE PURWOREJO,GEBANG,PURWOREJO,85642576584,validated
Apt.ASRF,Apotek Asri FArma,"Wonosallam, Demak",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Demak,81805994225,
Apt.ASSL,Apotek Assalam,"Jl. Kantil No.8, Lorjurang, Pulisen, Kec. Boyolali, Kabupaten Boyolali, Jawa Tengah 57316",,,,,,,,,active,-7.532220483,110.5906966,57316,JAWA TENGAH,KABUPATEN BOYOLALI,BOYOLALI,Boyolali,0276 324142,validated
Apt.astafr,Apotek Asta Farma,"Jl. Ahmad Yani No.78, Kalicacing, Kec. Sidomukti, Kota Salatiga, Jawa Tengah 50724",,,,,,,,,active,-7.33493439,110.5006006,50724,JAWA TENGAH,KOTA SALATIGA,SIDOMUKTI,SALATIGA,082151156161,validated
Apt.ASTP,"Apotek Astu, Pedan","Jl. Ronggowarsito No.5, Polaharjo, Sobayan, Kec. Pedan, Kabupaten Klaten, Jawa Tengah 57468",,,,,,,,,active,-7.693511523,110.7010506,57468,JAWA TENGAH,KABUPATEN KLATEN,PEDAN,Klaten,0272 897490,validated
Apt.ASTRY,Apotek Astery Farma,"Jl. Nguwer - Gawan, Kebayanan 2, Duyungan, Kec. Sidoharjo, Kabupaten Sragen, Jawa Tengah 57281",,,,,,,,,active,-7.443259451,110.9669857,57281,JAWA TENGAH,KABUPATEN SRAGEN,SIDOHARJO,SRAGEN,82225338733,validated
Apt.ASYSF,Apotek Asy-Syifa,"Jalan Raya, Kebondalem, Paseban, Bayat, Klaten Regency, Central Java 57462",,,,,,,,,active,-7.786183114,110.634926,57462,JAWA TENGAH,KABUPATEN KLATEN,PEDAN,Klaten,,validated
Apt.ATK,"Apotek Atika Sari, BYL","Jl. Perintis Kemerdekaan No.363, Ngrancah, Pusporenggo, Kec. Musuk, Kabupaten Boyolali, Jawa Tengah 57331",,,,,,,,,active,-7.537017663,110.5895933,57331,JAWA TENGAH,,,Boyolali,0276 321823/085728324625,
Apt.ATY,Apotek Atthaya,"Jl. HOS. Cokroaminoto No.38, Kebayanan Teguhan, Sragen Wetan, Kec. Sragen, Kabupaten Sragen, Jawa Tengah 55253",,,,,,,,,active,-7.427915107,111.0328667,55253,JAWA TENGAH,KABUPATEN SRAGEN,SRAGEN,Sragen,0217 893322,validated
Apt.AUL,Apotek Aulia,"Jl. Pedan-Cawas, Dusun 2, Temuwangi, Kec. Pedan, Kabupaten Klaten, Jawa Tengah 57468",,,,,,,,,active,-7.720000372,110.7057752,57468,JAWA TENGAH,KABUPATEN KLATEN,PEDAN,Klaten,8122630266,validated
Apt.Avicen,Apotek Avicenna,"Jl. Fatmawati, Sangin, Kesongo, Kec. Tuntang, Kabupaten Semarang, Jawa Tengah 50131",,,,,,,,,active,-7.287597132,110.4636808,50131,JAWA TENGAH,,,SALATIGA,,
